gene_name,Ensembl_ID,outdegree_diff,rank_outdegree,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,logpvalue,rank_exp,chromvar_ave_diff,motif_name,rank_chromvar,TF_rank,,,,,,,,,,,,,,
RORB,ENSG00000198963,138.4822229,143,130.1359364,2.306948009,1.19011679,1.93842153,0.052571816,0.20158015,-1.279247023,55,-3.720876094,RORB_M5032_1.02,435,633,,,,,,,,,,,,,,
FOXD2,ENSG00000186564,1512.362828,15,132.7507596,-1.951574559,0.886038169,-2.202585203,0.027623998,0.135672544,-1.558713469,591,25.41083118,FOXD2_M5446_1.02,30.5,636.5,,,,,,,,,,,,,,
NR1D2,ENSG00000174738,198.569225,110,3027.024061,-0.010719708,0.337850096,-0.031729185,0.97468802,0.988867617,-0.011134372,268,0.805509369,NR1D2_M4937_1.02,262,640,,,,,,,,,,,,,,
HES4,ENSG00000188290,-3.819838373,336,604.4683332,0.996691316,0.781741664,1.274962513,0.202322511,0.441620723,-0.693955794,103,2.599834184,HES4_M0191_1.02,201,640,,,,,,,,,,,,,,
POU3F2,ENSG00000184486,579.0305255,61,310.8801954,-1.798087347,1.2719379,-1.413659698,0.157461844,0.384982923,-0.802824667,499,6.973731121,POU3F2_M6426_1.02,84,644,,,,,,,,,,,,,,
MLXIP,ENSG00000175727,-15.98385103,356,6117.084145,0.190044353,0.384332426,0.494479104,0.62096786,0.801045567,-0.206930877,190,6.210865529,MLXIP_M0211_1.02,100,646,,,,,,,,,,,,,,
PPARA,ENSG00000186951,113.1807242,168,1446.863769,-0.376944439,0.488193533,-0.772120917,0.440042814,0.674186921,-0.356505066,389,6.567023703,PPARA_M6430_1.02,92,649,,,,,,,,,,,,,,
PBX4,ENSG00000105717,396.1426346,76,130.6263874,-0.806740908,0.559045058,-1.443069564,0.149000876,0.374245094,-0.826811178,502,8.680269378,PBX4_M4473_1.02,71.5,649.5,,,,,,,,,,,,,,
ESRRA,ENSG00000173153,-102.2603388,513,2961.862367,0.954528599,0.47242245,2.020497968,0.043331761,0.1798959,-1.363193664,49,6.709911076,ESRRA_M4663_1.02,89,651,,,,,,,,,,,,,,
ZNF410,ENSG00000119725,27.26043423,279,62.82904191,0.306228792,0.370021159,0.827598056,0.40789817,0.648905347,-0.389448243,146,1.431323494,ZNF410_M5972_1.02,234,659,,,,,,,,,,,,,,
POU6F1,ENSG00000184271,189.1799311,114,249.2433877,1.426655719,0.818042535,1.743987211,0.08116132,0.261587883,-1.090650899,69,-4.524191145,POU6F1_M0899_1.02,479,662,,,,,,,,,,,,,,
POU5F1,ENSG00000204531,387.9307802,77,19.91655788,3.02673389,0.816069039,3.708918909,0.000208146,0.004298176,-3.681631784,11,-6.183620003,POU5F1_M5739_1.02,577,665,,,,,,,,,,,,,,
HOXD12,ENSG00000170178,517.5429129,67,7.548369836,-1.653747067,0.993590709,-1.664414786,0.096029567,0.288849735,-1.017595028,532,9.00171185,HOXD12_M5557_1.02,67,666,,,,,,,,,,,,,,
FOXE1,ENSG00000178919,1088.897316,27,150.0571566,-3.230366836,1.432515821,-2.255030477,0.024131416,0.124453762,-1.617417196,597,19.42204381,FOXE1_M1873_1.02,44,668,,,,,,,,,,,,,,
